dataset,model,composition,n_maps,noise_level,num_qubits,n_runs,accuracy_mean,accuracy_std,accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,total_time_mean,total_time_std,total_time_ci95
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,0.01,6,10,0.9892,0.0017155785836105,0.0010633266225261,0.9894203200387228,0.001659990600083,0.0010288728333835,0.9411918045140256,0.0090914103878527,0.0056349145379101,42.14514643722214,1.1979118199920502,0.742473438293651
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,0.05,6,10,0.9890666666666666,0.0018108043366634,0.0011223481557502,0.9892961312039348,0.0017525112222352,0.0010862177091047,0.9405928726905316,0.0095980251145094,0.0059489175986642,42.56270884238184,0.9281804928018118,0.5752922296502844
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,0.0,6,10,0.9952,0.0020073937405575,0.0012441955306616,0.9951521105317936,0.0020605357720359,0.0012771333030178,0.9719420047566618,0.0119070554788126,0.0073800694456508,278.2032115685288,21.16438439302405,13.11782135162615
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,0.002,6,10,0.9954666666666666,0.0020318452356733,0.0012593507243471,0.9954247276139327,0.0020763273401587,0.0012869210183442,0.9735145149461208,0.0120123084830992,0.0074453059335785,232.89097560689552,11.829110659434876,7.331758746086149
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,0.01,6,10,0.9725333333333334,0.0267088555157828,0.0165543201567401,0.9734593651964888,0.0221830552019939,0.0137492000603112,0.8599522660695659,0.0834934985463564,0.051749806543599,226.2521300905966,2.268389327196704,1.4059622712158693
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_ZZ,1map_ZZ,1,0.05,6,10,0.0953333333333333,1.4628472785736258e-17,9.066821367772113e-18,0.0165948468249137,0.0,0.0,0.0,0.0,0.0,218.65080966039096,23.45092500253955,14.535033904179722
UNSW_NB15,QSVC_Z,1map_Z,1,0.0,6,10,0.8696000000000002,0.0062158697731722,0.0038526359999548,0.8618505213528508,0.0071440979370311,0.0044279577764324,0.7256116796337331,0.0130263039919151,0.0080737868612063,104.02604388796026,12.8834084545967,7.985219289587931
UNSW_NB15,QSVC_Z,1map_Z,1,0.002,6,10,0.8694666666666668,0.0061808146013128,0.0038309085793333,0.8616484936614895,0.0071283704650439,0.0044182097883024,0.725538098828965,0.0128180210473211,0.0079446917546803,46.79057182648685,15.493249320689074,9.60281541720586
UNSW_NB15,QSVC_Z,1map_Z,1,0.01,6,10,0.8688,0.0066947556405308,0.004149452535658,0.8611225808172287,0.0075738173925117,0.0046943006543367,0.7231997406722112,0.0146179600203487,0.0090603054882783,41.56927307700971,3.188146652547359,1.976033767591458
UNSW_NB15,QSVC_Z,1map_Z,1,0.05,6,10,0.8682666666666666,0.006763737735021,0.0041922080807842,0.8605269328876574,0.0076061972596517,0.004714369903914,0.7220068554117008,0.0148707420906512,0.0092169814386648,58.34711679489119,31.49073269180286,19.51815833674996
UNSW_NB15,QSVC_ZZ,1map_ZZ,1,0.0,6,10,0.8577333333333333,0.0183065798061115,0.0113465357175713,0.8583601831851357,0.0159699537403954,0.0098982798776463,0.7038209198173029,0.0328725195173595,0.0203745986842262,268.1581581726903,55.11804035649722,34.16251534755562
UNSW_NB15,QSVC_ZZ,1map_ZZ,1,0.002,6,10,0.8583333333333332,0.0205750658160146,0.0127525579133495,0.8588340492930484,0.0181997851050689,0.0112803436760944,0.704267272310073,0.0381542891937921,0.023648273445998,224.95229824152776,4.224145148165973,2.618152287729365
UNSW_NB15,QSVC_ZZ,1map_ZZ,1,0.01,6,10,0.7402666666666666,0.027376118275823,0.0169678939001694,0.7428026496520844,0.0263967988918595,0.0163609054573942,0.548870307850904,0.0180277415498945,0.011173709975838,226.36027997949856,5.785682047752939,3.5860028853354864
UNSW_NB15,QSVC_ZZ,1map_ZZ,1,0.05,6,10,0.6391333333333333,0.0003220305943597,0.0001995966302691,0.4984237025928785,0.0004043053235943,0.0002505910357671,0.0,0.0,0.0,228.137149590184,2.9550763667700144,1.8315753078307575
