dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,0,42,0,0.7813333333333333,0.7836503136891906,0.5402688300067692,2666.5570550799603,0.06690253596752882,2666.623957615928
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,1,123,1,0.8293333333333334,0.8319675318247509,0.6529006385030449,2451.9808205579757,0.17109098500804976,2452.1519115429837
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,2,456,2,0.836,0.8373209407978799,0.6524895914864605,2516.9977766270167,0.15603476099204272,2517.1538113880088
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,3,789,0,0.848,0.8446224659115504,0.6644285311497105,2514.3403473240323,0.10501030902378261,2514.445357633056
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,4,1024,1,0.8146666666666667,0.8136300593714249,0.594650563980252,2553.1521980430116,0.15218327997718006,2553.304381322989
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,5,2048,2,0.8586666666666667,0.8553506190292591,0.6886497833247908,2510.1533749220544,0.10951462696539238,2510.2628895490197
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,6,3072,0,0.8493333333333334,0.8474487933895158,0.6684689508937204,2512.060541057028,0.06833527295384556,2512.1288763299817
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,7,4096,1,0.8573333333333333,0.8562672527472528,0.687476443602131,2511.3201765079866,0.13501651596743613,2511.455193023954
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,8,5120,2,0.836,0.832849769985902,0.6375357358187437,2429.676089565037,0.1499447969836183,2429.8260343620204
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,10,9,6144,0,0.844,0.8429823527461576,0.6585257768762414,1202.8431223000516,0.06482062902068719,1202.9079429290723
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,10,0,42,0,0.8426666666666667,0.8294005985363915,0.6730412168608544,2599.2563132389914,0.07234941399656236,2599.328662652988
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,10,1,123,1,0.892,0.8867217477175409,0.7744009877486218,2494.0194726570044,0.10951109603047371,2494.128983753035
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,10,2,456,2,0.8786666666666667,0.8716885105795333,0.7471055041277115,2353.455162744969,0.15931125299539417,2353.6144739979645
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,10,3,789,0,0.8506666666666667,0.8390341809751504,0.6895852015533395,2632.498062784958,0.061716611962765455,2632.559779396921
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,10,4,1024,1,0.864,0.8547797598627789,0.7170317678789601,2313.61680833,0.14921597798820585,2313.766024307988
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,10,5,2048,2,0.8586666666666667,0.8485263387827368,0.7060690099933081,2616.8588636720087,0.19182767596794292,2617.0506913479767
