dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,11,7168,1,237,604,474,0.87,0.8719230044983785,0.8818054590228491,0.87,0.7365653979861493,660.4313690247945
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,12,8192,2,237,604,474,0.864,0.8655561868686868,0.8709466603090326,0.864,0.7166663695766846,659.6190207400359
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,13,9216,0,237,604,474,0.8813333333333333,0.8818690079964456,0.8828758632656603,0.8813333333333333,0.7455890638324116,588.337982526049
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,14,10240,1,237,604,474,0.884,0.8851028862478778,0.8887375063960431,0.884,0.7565549122629405,638.2527706241235
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,15,11264,2,237,604,474,0.882,0.883265831891025,0.8879206790504951,0.882,0.753987303710921,642.4892207682133
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,16,12288,0,237,604,474,0.8733333333333333,0.8748146006197609,0.880398297442424,0.8733333333333333,0.7368587074086703,580.2096378980204
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,17,13312,1,237,604,474,0.8633333333333333,0.8653549534470133,0.8752695364554883,0.8633333333333333,0.7225442695301421,657.4574068309739
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,18,14336,2,237,604,474,0.8666666666666667,0.8678197617818911,0.8709516509901972,0.8666666666666667,0.7185900731457799,654.0903671309352
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,19,15360,0,237,604,474,0.8773333333333333,0.8787369528619529,0.8840411527937077,0.8773333333333333,0.7449224447500988,599.5157884671353
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,20,16384,1,237,604,474,0.872,0.8734227994227994,0.8785031497513354,0.872,0.7333838164063535,654.9827065807767
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,21,17408,2,237,604,474,0.8786666666666667,0.8803123254401942,0.8880923716990442,0.8786666666666667,0.7516037324608088,654.9739111778326
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,22,18432,0,237,604,474,0.8726666666666667,0.8742638506584534,0.8807828934506354,0.8726666666666667,0.7369356603174312,590.8187607401051
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,23,19456,1,237,604,474,0.866,0.8678759753941774,0.876482235674298,0.866,0.7262131121289369,650.7155574951321
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,24,20480,2,237,604,474,0.878,0.8795302862329685,0.8860158357771261,0.878,0.7482129862761758,653.1385728721507
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,25,21504,0,237,604,474,0.886,0.887230705314928,0.8918688654100309,0.886,0.7623139615989155,588.4582528257743
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,26,22528,1,237,604,474,0.8826666666666667,0.882984685845141,0.8834642642642642,0.8826666666666667,0.7471541626913628,650.7020602738485
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,27,23552,2,237,604,474,0.884,0.885431916379961,0.8917313782991202,0.884,0.7608386200014524,650.0224421308376
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,28,24576,0,237,604,474,0.8653333333333333,0.8671302516400471,0.8746917100102125,0.8653333333333333,0.723006647661149,588.3184806187637
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,29,25600,1,237,604,474,0.8726666666666667,0.8741074689600612,0.8793171363664272,0.8726666666666667,0.7348278608970134,466.0618075598031
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,30,26624,2,237,604,474,0.8906666666666667,0.8916500261809301,0.8948399364631964,0.8906666666666667,0.7698770327382213,468.1000228007324
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,1,42,0,195,592,372,0.878,0.8796567654548078,0.887579114379973,0.878,0.7505737747890927,638.171797640156
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,2,123,1,195,592,372,0.8693333333333333,0.8708189318106568,0.8761641347229582,0.8693333333333333,0.7281441798054216,651.1410333830863
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,3,456,2,195,592,372,0.86,0.8618049098218898,0.8688217712872754,0.86,0.7108284249784182,651.2456036950462
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,4,789,0,195,592,372,0.8973333333333333,0.8981962172479612,0.900958909436759,0.8973333333333333,0.783419217323532,615.1002612798475
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,5,1024,1,195,592,372,0.8713333333333333,0.8730068381065985,0.8800963880107715,0.8713333333333333,0.7349982251655192,677.1591404806823
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,6,2048,2,195,592,372,0.874,0.8758019118494867,0.8846952451665502,0.874,0.7433853430893224,677.4743918171152
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,7,3072,0,195,592,372,0.8746666666666667,0.8764717615362012,0.8855221869120229,0.8746666666666667,0.7450275518085625,621.553592867218
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,8,4096,1,195,592,372,0.862,0.863630957660226,0.8694164234086514,0.862,0.7130677511019026,672.5107668340206
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,9,5120,2,195,592,372,0.8893333333333333,0.8903920786148146,0.8940008050588861,0.8893333333333333,0.7677355638384742,673.2307267687283
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,10,6144,0,195,592,372,0.888,0.8890011485220334,0.8922004742048892,0.888,0.7643592782401754,608.6958696683869
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,11,7168,1,195,592,372,0.87,0.8719230044983785,0.8818054590228491,0.87,0.7365653979861493,662.2119485223666
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,12,8192,2,195,592,372,0.864,0.8655561868686868,0.8709466603090326,0.864,0.7166663695766846,663.4726576292887
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,13,9216,0,195,592,372,0.8813333333333333,0.8818690079964456,0.8828758632656603,0.8813333333333333,0.7455890638324116,602.7189433053136
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,14,10240,1,195,592,372,0.884,0.8851028862478778,0.8887375063960431,0.884,0.7565549122629405,669.2352868691087
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,15,11264,2,195,592,372,0.882,0.883265831891025,0.8879206790504951,0.882,0.753987303710921,663.2430306319147
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,16,12288,0,195,592,372,0.8646666666666667,0.8661979905701175,0.8714594830232701,0.8646666666666667,0.7178698600557787,615.9790896540508
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,17,13312,1,195,592,372,0.866,0.8676698325384719,0.8742184117143805,0.866,0.7230121326785953,668.6834157919511
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,18,14336,2,195,592,372,0.8593333333333333,0.8608051970986358,0.8653714514366622,0.8593333333333333,0.7055121481016762,663.9000972462818
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,19,15360,0,195,592,372,0.8773333333333333,0.8787369528619529,0.8840411527937077,0.8773333333333333,0.7449224447500988,609.7451217048801
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,20,16384,1,195,592,372,0.872,0.8732169779286927,0.8769268737625047,0.872,0.7310456728439085,665.8613080931827
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,21,17408,2,195,592,372,0.872,0.8736502032657278,0.8805930475812223,0.872,0.7361844990825005,661.0541727999225
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,22,18432,0,195,592,372,0.8673333333333333,0.868868139155985,0.8743630983925101,0.8673333333333333,0.7239395228207399,616.7974098669365
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,23,19456,1,195,592,372,0.866,0.8678759753941774,0.876482235674298,0.866,0.7262131121289369,643.3814657288603
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,24,20480,2,195,592,372,0.878,0.8795302862329685,0.8860158357771261,0.878,0.7482129862761758,638.6802490870468
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,25,21504,0,195,592,372,0.886,0.887230705314928,0.8918688654100309,0.886,0.7623139615989155,610.3783565182239
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,26,22528,1,195,592,372,0.8866666666666667,0.8873704236391723,0.8890212299255777,0.8866666666666667,0.7584620516026426,652.7518363911659
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,27,23552,2,195,592,372,0.8766666666666667,0.8780533038190588,0.8832269166026915,0.8766666666666667,0.7434727580717178,654.8495488511398
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,28,24576,0,195,592,372,0.8706666666666667,0.8721465698653199,0.87749390655137,0.8706666666666667,0.7307944071633917,636.898627190385
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,29,25600,1,195,592,372,0.8726666666666667,0.8740413141236913,0.878765890683028,0.8726666666666667,0.7340210103378029,501.53512624278665
UNSW_NB15,10q_5k,qiskit_level3,QSVC_Precomputed_GPU,30,26624,2,195,592,372,0.878,0.8792846337645218,0.8837404801324504,0.878,0.7449486297651455,502.7054759589955
