status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,error,zz_reps,layout
success,UNSW_NB15,QVE,FakeKolkataV2,full,0,10.0,0,42,1.0,255.0,474.0,0.0125799999999999,0.8106666666666666,0.7812709442334507,0.8075753323173313,0.581265321244157,0.8854817462579636,0.7740474918756037,3179.3962822180474,0.9391931120771916,3180.3354753301246,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeKolkataV2,full,0,10.0,1,123,2.0,255.0,474.0,0.0125799999999999,0.856,0.8423992173115886,0.8557640603142461,0.6870462365407075,0.934719472455685,0.8409705071029957,3146.862231542007,0.4104296489385888,3147.2726611909457,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeKolkataV2,full,0,10.0,2,456,0.0,255.0,474.0,0.0125799999999999,0.8226666666666667,0.8122972983383279,0.8234004607042448,0.6194455598685229,0.923133218806092,0.8114363329884964,3095.0762729049893,0.9163041529245676,3095.992577057914,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeKolkataV2,full,0,10.0,3,789,1.0,255.0,474.0,0.0125799999999999,0.8546666666666667,0.8277353650363226,0.8520447518118646,0.679630601927646,0.9171667603941176,0.8220193790021288,3250.293884480023,0.9363285229774192,3251.230213003,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeKolkataV2,full,0,10.0,4,1024,2.0,255.0,474.0,0.0125799999999999,0.82,0.8021978445254181,0.8194752796474747,0.6079301213589561,0.9105262346986728,0.7996255161228364,2945.8230561709497,2.2252318400423974,2948.048288010992,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeSherbrooke,full,0,10.0,0,42,0.0,731.0,474.0,0.0449462890625,0.8573333333333333,0.8025830258302583,0.846953796341266,0.7033252792065477,0.8725203953500912,0.7779241940321155,4124.977493764949,1.1292095960816368,4126.106703361031,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeSherbrooke,full,0,10.0,1,123,1.0,731.0,474.0,0.0449462890625,0.896,0.8568897379996765,0.8913413635948564,0.7817225877460477,0.9384942492431187,0.8452056881072244,4120.233950854978,1.179458532948047,4121.413409387926,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeSherbrooke,full,0,10.0,2,456,2.0,731.0,474.0,0.0449462890625,0.8866666666666667,0.8431734317343174,0.8807450035071082,0.7634841603616832,0.931892241678158,0.828460538268803,3298.5227861980675,0.4774470140691846,3299.0002332121367,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeSherbrooke,full,0,10.0,3,789,0.0,731.0,474.0,0.0449462890625,0.8773333333333333,0.8342641881533638,0.8712358974358974,0.739707318354515,0.9088583996487146,0.8196825322396697,3087.7404534660745,0.841261132969521,3088.581714599044,,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeSherbrooke,full,0,10.0,4,1024,1.0,731.0,474.0,0.0449462890625,0.868,0.8173431734317342,0.859432210502487,0.7252427825776493,0.9185457094654452,0.7966720447357674,3060.5283405369846,0.5232713019941002,3061.0516118389787,,2,worst_healthy_path
