dataset,model,feature_regime,num_qubits,n_runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,training_time_mean,training_time_std,training_time_ci95
UNSW_2018_IoT_Botnet_Final_10_Best,GradientBoost,quantum_features,6,30,0.9971777777777778,0.0012586355603663316,0.00045039695088598604,0.9924969037349286,0.00512487160476465,0.0018339117510682355,0.9971797063558843,0.0012574908439507812,0.00044998731937752703,0.9837021436744927,0.007261272806867314,0.002598413102846453,0.9997868258000905,0.0002132947346563236,7.63265405446536e-05,0.9924657400713175,0.0051693900163985685,0.001849842460075351,0.3206561283247235,0.0958315826752225,0.03429289144105855
UNSW_2018_IoT_Botnet_Final_10_Best,LinearSVM,full_features,6,30,0.9930444444444446,0.002492491918590737,0.0008919267781648313,0.9953215907158429,0.0017900136678749288,0.0006405481645699372,0.9931608454056019,0.0024026128719172256,0.0008597639743755387,0.9617843374632211,0.012815060041211855,0.004585810340765146,0.9988418852088713,0.0006536374745166071,0.00023390116629265652,0.9953148178368149,0.0017918863349793623,0.000641218289886924,0.03886652629589662,0.006129190570716659,0.0021933026774219253
UNSW_2018_IoT_Botnet_Final_10_Best,LinearSVM,quantum_features,6,30,0.985688888888889,0.003389111857497601,0.001212778102649651,0.9910477142606842,0.002793538527802576,0.0009996549237323324,0.9861413116963021,0.003168392660551378,0.001133794752395628,0.9251608436476283,0.01569075596575327,0.005614864911344525,0.9975144850236966,0.004422142054737848,0.001582443211169814,0.9910152488287538,0.002797782324847636,0.0010011735470014205,0.07700822742190212,0.023212609130035942,0.008306525497526423
UNSW_2018_IoT_Botnet_Final_10_Best,MLP,full_features,6,30,0.9909999999999999,0.003150138353709178,0.0011272625325846203,0.9879355598957662,0.008321886266042683,0.002977948754883957,0.9911300872428289,0.0030777876451559953,0.0011013721640355943,0.9499893617941955,0.017146871931112473,0.006135929317584013,0.9967899332306113,0.00583354342639619,0.002087506705551138,0.9878961193095513,0.008392139285960904,0.003003088475195442,0.22656150880114487,0.06545126978318247,0.0234214360933688
UNSW_2018_IoT_Botnet_Final_10_Best,MLP,quantum_features,6,30,0.9885333333333335,0.008714105357631837,0.003118302554263032,0.9707235039585812,0.04380439984047687,0.015675203168261858,0.9884059891161279,0.009311362869842948,0.003332028410153628,0.933542053440115,0.05441811832341777,0.01947327354924447,0.9959499478659392,0.006089907970659412,0.0021792455795249703,0.9693213030018762,0.047866681658852585,0.017128872047681945,0.3941786106714668,0.1161805381153178,0.041574671626314216
UNSW_2018_IoT_Botnet_Final_10_Best,RBF-SVM,full_features,6,30,0.9931555555555556,0.0014429995720742208,0.0005163707651822969,0.9953830006888224,0.0017096285096138313,0.000611782705117363,0.9932598052967399,0.0014007392682409772,0.0005012481096739237,0.9622070121210116,0.007609678818755353,0.002723088593009028,0.9984962715987034,0.0012048075162942654,0.0004311348326957462,0.9953776067449691,0.0017079654749130144,0.0006111875957925894,0.06877148436615244,0.0029410444268757737,0.00105243923181348
UNSW_2018_IoT_Botnet_Final_10_Best,RBF-SVM,quantum_features,6,30,0.9833333333333336,0.004528327188536258,0.0016204410732978353,0.9892244822237454,0.002889574590094528,0.0010340209872644977,0.9839421199879804,0.0041811863044486615,0.0014962183033044208,0.9142153177811566,0.02007772933130632,0.00718472316871653,0.9987300589363965,0.0005030118360344655,0.0001800004738016023,0.9891842621323812,0.002898595790447787,0.00103724918235161,0.14091459300446635,0.029252399099345638,0.010467836580598867
UNSW_2018_IoT_Botnet_Final_10_Best,RandomForest,full_features,6,30,0.9986888888888888,0.0010130691327290317,0.000362522133321152,0.9966686592699857,0.0030867525139150667,0.0011045802011206132,0.9986902836917297,0.0010104083540596201,0.00036156998590261205,0.9924325056024185,0.005829130025671027,0.0020859273903845836,0.9999818776163655,2.010126430916045e-05,7.193145052380443e-06,0.996660852388489,0.003097316141582827,0.0011083603467335892,0.5813186389626935,0.01983058898679506,0.007096285132231698
UNSW_2018_IoT_Botnet_Final_10_Best,RandomForest,quantum_features,6,30,0.9970888888888889,0.0019217116678511017,0.0006876756886085768,0.9910922901711406,0.008308763553091307,0.002973252852363189,0.9970837082266022,0.0019335965391001574,0.0006919286351649964,0.9831128381454192,0.011219733196550443,0.004014929961147612,0.9998831063311534,0.00013985501066378914,5.00464728255128e-05,0.9910309973526179,0.008423867285685444,0.003014442194082492,0.5963971345685423,0.0314447628562245,0.011252363875413094
UNSW_NB15,GradientBoost,full_features,6,30,0.9359333333333334,0.005578695105529575,0.0019963104051515784,0.928689251607086,0.006408525825342319,0.002293261514531008,0.9358058478592286,0.005590594735581362,0.0020005686330777273,0.86079432538407,0.012084505638259446,0.004324384805123735,0.9862522077157173,0.001877995418232547,0.0006720320295921122,0.9282856236109108,0.006576857092753884,0.002353498084963577,0.5985202388566297,0.08157630642132653,0.029191706347477194
UNSW_NB15,GradientBoost,quantum_features,6,30,0.909888888888889,0.006692097090884038,0.0023947361886786996,0.8991352312914019,0.007794988717917321,0.002789400888783706,0.9095798037540023,0.006741679509212066,0.0024124790292083262,0.8037272019890999,0.014697823182371967,0.0052595484780955624,0.9730956415887884,0.0029211130258784443,0.0010453068715665867,0.8982592163810641,0.008037661891922758,0.0028762403688330864,1.9531710978830232,8.155473726676156,2.9183987924642847
UNSW_NB15,LinearSVM,full_features,6,30,0.8757777777777778,0.007950678099870795,0.00284511361860421,0.8747371897798552,0.006733427917845401,0.002409526235160126,0.87677671371517,0.007641277029806226,0.0027343958676156843,0.7376799375759795,0.014271362373028309,0.005106941437384866,0.9540137598917773,0.005007553254723819,0.0017919299186734904,0.8746055421308259,0.006868736272607925,0.0024579457080667255,0.8154615524535378,0.03631731696754104,0.012995984971042398
UNSW_NB15,LinearSVM,quantum_features,6,30,0.8240000000000001,0.007723180017230212,0.0027637044752586147,0.7896709198548011,0.00866667767686266,0.0031013307766661765,0.8194967730595573,0.007700101905744015,0.002755446079124817,0.6100604698344398,0.017343976325037255,0.006206462219104858,0.8393122257605717,0.01232834361108396,0.004411641103077383,0.7797437204201302,0.010503643560398691,0.00375868057582917,0.5868896712898277,0.0282793282290479,0.010119627641666209
UNSW_NB15,MLP,full_features,6,30,0.9087111111111111,0.007665283899955841,0.0027429866157688315,0.8913097866399708,0.012138937466031612,0.004343862984536208,0.9076281412339011,0.008139033593011361,0.0029125157661873007,0.8007578305235756,0.01683631660548234,0.006024798521546035,0.9706703982447553,0.005307771775707232,0.0018993617366741466,0.8888508376265011,0.013540980194491554,0.004845577531459094,0.4316385400365107,0.14396206445585125,0.05151616314995517
UNSW_NB15,MLP,quantum_features,6,30,0.8390222222222221,0.02561652563670649,0.009166755971607241,0.7946700059637576,0.026172028797357604,0.009365540224685208,0.8316156789974591,0.026047317414956753,0.009320912829637058,0.6487575345956752,0.06177671010649838,0.02210651180047387,0.8786834586182969,0.03696974482290326,0.013229453280679778,0.7779209302621843,0.028622847148331854,0.010242554308200333,0.36105944608959056,0.19355853857584604,0.06926403348014017
UNSW_NB15,RBF-SVM,full_features,6,30,0.8988222222222223,0.006622111650186455,0.002369692220361589,0.8946436646596615,0.008112416820872392,0.0029029910766017546,0.8992081749468983,0.006596736748401488,0.0023606119283748803,0.7832656920403899,0.014147925348773587,0.005062770065542659,0.9623786358934202,0.0042775816175141,0.0015307129230748464,0.8943822711350237,0.00838237497251601,0.0029995943605036603,0.8506346144713461,0.013164471702231015,0.004710845697847568
UNSW_NB15,RBF-SVM,quantum_features,6,30,0.8602222222222226,0.014577927295747578,0.005216644286080139,0.8134434023600102,0.011776621612403759,0.004214209921433381,0.8526616153934362,0.013923697280372871,0.004982531081764589,0.7021328837680202,0.03775179118752651,0.013509304978160233,0.8709231964800462,0.015585897555029675,0.005577341810971521,0.7956584955154149,0.01125915914200634,0.004029038354536691,0.8942043270411281,0.05564148744188869,0.0199110505659744
UNSW_NB15,RandomForest,full_features,6,30,0.9372222222222223,0.005333572791559204,0.0019085945116214132,0.9279962861709773,0.007180010801294995,0.002569333867613341,0.9369476223056116,0.005436216618268878,0.0019453251332827391,0.8633194188451873,0.011682069832489313,0.004180375001528597,0.9861273864333432,0.0020475796280623104,0.0007327169597108067,0.9273450643975264,0.007522118844335855,0.002691755658567927,0.6088539373944514,0.0352052545316567,0.012598038539136906
UNSW_NB15,RandomForest,quantum_features,6,30,0.910888888888889,0.006342300568456103,0.00226956311070988,0.9002922670264896,0.007840789106893491,0.002805790347491082,0.9105866065377047,0.006434762062012965,0.0023026500312480656,0.8059332862088532,0.01401505634081904,0.005015223501680635,0.9740692005184289,0.0027298277185439875,0.0009768563034389449,0.8994325768856264,0.00815396953471472,0.0029178605242837947,0.5957784154180747,0.02702927794086104,0.009672302890973768
