dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,3,456,2,124,196,142,0.9406666666666667,0.9456122066712134,0.7300740400658026,277.2695863309782
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,4,789,0,124,196,142,0.9546666666666667,0.9573529970495248,0.7754009734327173,244.6297222779831
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,5,1024,1,124,196,142,0.9546666666666667,0.9569284538432317,0.7673304473147916,265.0393058769405
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,6,2048,2,124,196,142,0.9573333333333334,0.9588164839803776,0.7701949411529486,267.31740290496964
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,7,3072,0,124,196,142,0.9613333333333334,0.9626774386072172,0.7920982952477333,195.33413106494118
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,8,4096,1,124,196,142,0.9526666666666667,0.9554175125808769,0.7639370639604357,263.5167943260167
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,9,5120,2,124,196,142,0.944,0.9473184081200012,0.7198216544876251,261.48995258891955
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,10,6144,0,124,196,142,0.952,0.955471447814741,0.7742903761920127,196.5796885350719
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,11,7168,1,124,196,142,0.9533333333333334,0.9553165064102563,0.7542139235406125,263.2937151279766
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,12,8192,2,124,196,142,0.9673333333333334,0.9685966382006906,0.8272975674665805,267.23599098296836
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,13,9216,0,124,196,142,0.9626666666666667,0.9638652194283929,0.7977266593203619,214.1904614509549
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,14,10240,1,124,196,142,0.96,0.9615982731742415,0.7883518137678861,258.133953943965
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,15,11264,2,124,196,142,0.9626666666666667,0.9638652194283929,0.7977266593203619,256.1348654270405
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,16,12288,0,124,196,142,0.9446666666666667,0.9486105873320623,0.7359341918993468,223.24242524895817
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,17,13312,1,124,196,142,0.95,0.9527904833167758,0.7478659806542033,238.11791872698814
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,18,14336,2,124,196,142,0.9686666666666667,0.9697970150625762,0.8330112268534177,259.45134527795017
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,19,15360,0,124,196,142,0.9446666666666667,0.948725949722807,0.7382501928382417,258.99895657098386
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,20,16384,1,124,196,142,0.9553333333333334,0.9570607093764544,0.7621035520981367,221.6837464160053
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,21,17408,2,124,196,142,0.9433333333333334,0.9472524432247766,0.7268157963603983,257.1387214339338
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,22,18432,0,124,196,142,0.958,0.9597317211122125,0.7784412944117622,256.78906987793744
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,23,19456,1,124,196,142,0.9573333333333334,0.9591465201465201,0.7757780903879318,226.34418612904847
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,24,20480,2,124,196,142,0.9526666666666667,0.9555251186688496,0.7660250597507845,265.69177886191756
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,25,21504,0,124,196,142,0.946,0.9498488864324945,0.7427122477486998,252.2971078089904
