dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.0,0.0,124,204,150,2,186,306,225,0.8585333333333334,0.01644999388603457,0.006142528666678533,0.8540000000000001,0.832,0.8926666666666667,0.8591752733497017,0.014770561225114618,0.7032384604975506,0.029684304029847657,820.112450535254,13.744382024087168,5.525221486203373,0.3511887212164576,825.6376720214573,13.843439619231539,0.9933079343718951,0.006692065628104938,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.0003,0.0009,124,204,150,2,186,306,225,0.8577555555555556,0.016782113570334694,0.006266544194934361,0.853,0.8306666666666667,0.8946666666666667,0.8583922862618074,0.014947130554148239,0.7023363325864561,0.030516716145994122,603.1584176378169,15.339726471334506,4.586721099323283,1.021881493406884,607.7451387371402,15.105678245783805,0.992452887226948,0.007547112773051921,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.0005,0.0015,124,204,150,2,186,306,225,0.8587111111111111,0.017453986213418028,0.006517425562981563,0.8566666666666667,0.8306666666666667,0.8946666666666667,0.8593111455696031,0.015637402607727727,0.7041411612252398,0.03153038847143325,604.1597208994596,17.111644124928517,4.216758134355769,0.9035409773892151,608.3764790338154,16.867884945146496,0.9930688343818739,0.006931165618126057,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.001,0.003,124,204,150,2,186,306,225,0.8586666666666666,0.017198413898177556,0.006421993292085294,0.8556666666666666,0.8306666666666667,0.894,0.8592473112020197,0.015335040694294335,0.7041126599836399,0.030824459932886784,606.2150707396369,19.63370416836042,4.409506738993029,0.830123432232019,610.6245774786298,19.309340611203258,0.9927786943047715,0.007221305695228669,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.002,0.006,124,204,150,2,186,306,225,0.8579777777777778,0.017805662996310655,0.006648743831869015,0.8563333333333333,0.8293333333333334,0.894,0.8585340710713677,0.01573394176286558,0.7036541922529295,0.03185633863127917,605.4220536504562,16.737074329916982,4.4544339082979905,0.8448666285021037,609.8764875587542,16.4406131046269,0.9926961704555484,0.007303829544451588,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.005,0.015,124,204,150,2,186,306,225,0.8503555555555555,0.015734125572624668,0.005875219045340604,0.8446666666666667,0.83,0.888,0.8517064943242602,0.013914143277012583,0.691899166321334,0.026031927242776698,606.1863230427728,15.02052240607133,4.3027214192319665,1.083165396521431,610.4890444620047,14.622122784528653,0.9929520087898978,0.007047991210102309,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.008,0.024,124,204,150,2,186,306,225,0.845088888888889,0.016471485481640777,0.006150553760366612,0.8403333333333334,0.8206666666666667,0.8826666666666667,0.8468169553169765,0.014664820727537994,0.6850730780205313,0.02480420609126167,603.673057934347,14.4486356532192,4.427269396247963,0.6886890258012341,608.1003273305948,14.132147013002017,0.9927195082829795,0.007280491717020685,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.01,0.03,124,204,150,2,186,306,225,0.8393777777777777,0.012664770981356793,0.0047291032050745295,0.8383333333333334,0.818,0.87,0.841569931246246,0.011192112257090664,0.6767400049992263,0.018331676349475117,610.7457619602326,8.447198481229956,4.078014244232326,0.838963674965804,614.8237762044649,8.180071954414847,0.9933671819437312,0.006632818056268773,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.02,0.06,124,204,150,2,186,306,225,0.8575555555555555,0.017209400739672667,0.0064260958461231565,0.864,0.8166666666666667,0.8773333333333333,0.851167072863619,0.01399236230642359,0.7012264775119971,0.03427414343405004,606.5073415009305,16.142854579365398,4.458631330635399,0.7179045272732392,610.9659728315659,15.977848623051578,0.9927023246319733,0.007297675368026717,30,6
UNSW_NB15,6q_5k,QWE,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,124,204,150,2,186,306,225,0.6398444444444443,0.004197000692734614,0.0015671858146451012,0.6393333333333333,0.6386666666666667,0.662,0.5000227192496439,0.009130800827532606,0.006758680079127244,0.03701881538298791,611.364982566998,10.010342753867132,4.3401040911208835,0.927079341950544,615.705086658119,9.632363213353582,0.9929510017292892,0.007048998270710735,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.0,0.0,124,196,142,2,181,310,193,0.8595111111111111,0.016364556910004987,0.006110625975523031,0.857,0.832,0.8926666666666667,0.8600962951395934,0.014706062007006892,0.7050027085046386,0.02932813208943356,840.0505917672223,14.774937871727774,5.183835844990487,0.5108799254786398,845.2344276122128,14.801575900525883,0.9938669845008149,0.006133015499185028,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.0003,0.0009,124,196,142,2,181,310,193,0.8586444444444444,0.016977319405659656,0.006339435251775692,0.856,0.8306666666666667,0.892,0.8592128294518361,0.01519070960534405,0.7038348781534448,0.03048259129139234,631.6441386185896,13.531403220240696,4.431567149826636,0.9656955736053366,636.0757057684164,13.312322612399926,0.9930329564395591,0.006967043560440727,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.0005,0.0015,124,196,142,2,181,310,193,0.8576444444444445,0.016862512171397347,0.006296565525957922,0.8533333333333334,0.8313333333333334,0.892,0.8582858710688961,0.015013780376796055,0.7022237925373911,0.030348286777978174,629.9807590799096,13.43811281482541,4.025815277624255,0.8095705155263256,634.0065743575339,13.579509078706586,0.9936501994767108,0.00634980052328919,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.001,0.003,124,196,142,2,181,310,193,0.8581333333333333,0.017173801664207393,0.0064128029328815095,0.855,0.8313333333333334,0.8946666666666667,0.8587303328665535,0.015335502668895972,0.7030970043169252,0.03105658181121861,628.5270572193588,15.756378268371318,4.103662732165928,0.8091198402513264,632.6307199515247,15.688805915872038,0.9935133362912247,0.006486663708775272,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.002,0.006,124,196,142,2,181,310,193,0.8585777777777778,0.017748117019185234,0.006627255810864641,0.856,0.83,0.892,0.8591131318180343,0.015769622747248198,0.7043596125504005,0.031682604220234466,627.9392678959606,18.167331268949656,4.18814870622009,0.824526487777172,632.1274166021807,17.89478089294606,0.9933745181806347,0.00662548181936528,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.005,0.015,124,196,142,2,181,310,193,0.8527777777777777,0.01584027877510533,0.005914857302583409,0.8463333333333334,0.832,0.8873333333333333,0.8539411635147613,0.014017893291993983,0.6956127332892399,0.026446490795163584,631.272694603866,16.004197161891028,4.033379786632334,1.0559851488065362,635.3060743904983,15.493007312029947,0.9936512809349384,0.006348719065061497,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.008,0.024,124,196,142,2,181,310,193,0.8452666666666667,0.016080592047963502,0.006004591753413073,0.842,0.8226666666666667,0.8813333333333333,0.8470170411054554,0.014282146775019154,0.6856128744399143,0.02412141373571207,629.2239009564897,15.081763945808747,4.303463465922202,0.8821208563200029,633.527364422412,15.067485543183786,0.9932071387794815,0.006792861220518354,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.01,0.03,124,196,142,2,181,310,193,0.8426444444444445,0.015593970082612709,0.005822884125269799,0.8396666666666667,0.82,0.8793333333333333,0.8445131527507569,0.013888375393187786,0.6807764288292465,0.023038128223873418,627.4530293310527,17.38877870760099,4.44196169351538,0.9990131019095576,631.8949910245681,16.797960181289493,0.99297041160856,0.00702958839143999,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.02,0.06,124,196,142,2,181,310,193,0.8468888888888887,0.02186922702513474,0.008166103577341396,0.8386666666666667,0.81,0.886,0.846632062167817,0.01861686980261718,0.6842581694892835,0.03930342104347581,629.6560567496189,16.331545228178452,4.2554765748170515,0.8448240211563918,633.9115333244359,16.171579722157478,0.9932869551173805,0.006713044882619447,30,6
UNSW_NB15,6q_5k,QWE,full,3,L3,qiskit_heavy,0.05,0.15000000000000002,124,196,142,2,181,310,193,0.7246222222222223,0.060384701148738625,0.022548017975242887,0.7316666666666667,0.6133333333333333,0.822,0.6642076150947215,0.09820526743046429,0.3606909178387322,0.19329125429813118,626.3786185499902,18.059675915515694,4.267656578185657,0.9105738358254437,630.6462751281758,17.895220729934042,0.9932328838740572,0.00676711612594283,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.0,0.0,25,54,20,1,25,54,20,0.8456888888888888,0.01329273512682697,0.00496358887065715,0.8423333333333334,0.8266666666666667,0.8786666666666667,0.8475017225594107,0.011940240694848944,0.6849798068792973,0.02072289191269605,155.97832564716228,5.07238814645915,0.7423580077321579,0.8151909710075106,156.72068365489443,4.303082322999899,0.995263177837031,0.004736822162969003,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.0003,0.0009,25,54,20,1,25,54,20,0.8485777777777778,0.016604235561133315,0.006200123454704252,0.843,0.826,0.884,0.8498078159040443,0.01428841283641129,0.6903572789175038,0.02452749340626477,87.2307433253775,4.2542163122032495,0.7614634760189801,0.707774279989596,87.99220680139648,3.6965996798676013,0.9913462395853119,0.008653760414688171,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.0005,0.0015,25,54,20,1,25,54,20,0.8450888888888889,0.014740132963974847,0.005504056105378568,0.841,0.826,0.884,0.8468185571277328,0.012807555576459751,0.6852343614351774,0.022939525959241286,86.98783057956025,4.448374850254727,0.7019803331233561,0.5804326261669018,87.68981091268361,3.973316439629848,0.9919947331871618,0.008005266812838118,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.001,0.003,25,54,20,1,25,54,20,0.8479111111111112,0.015035827795529146,0.005614470370088596,0.8446666666666667,0.8273333333333334,0.8853333333333333,0.8494007632960865,0.013169956613526558,0.6888926287697726,0.023046451717996415,88.0000394936651,3.703974790550955,0.6719613304361701,0.5510794004150258,88.67200082410127,3.2415460628588693,0.9924219446477909,0.007578055352209097,30,6
