status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,3map,3,full,0,0.05,6,5,2048,0,0.9853333333333333,0.9856375308641976,0.9197749236083979,690.8476416490012,5.500865481008077,696.3485071300092
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,3map,3,full,0,0.05,6,6,3072,1,0.9913333333333333,0.9915008826575236,0.9528300165982294,670.9165223339951,7.128730584983714,678.0452529189788
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,3map,3,full,0,0.05,6,7,4096,2,0.9893333333333333,0.9895842656730438,0.9427443139024599,654.8051323089894,8.01161382002465,662.8167461290141
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,3map,3,full,0,0.05,6,8,5120,0,0.9853333333333333,0.9857972121984009,0.9233721161313739,900.2116839960217,8.720690306989127,908.9323743030109
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,3map,3,full,0,0.05,6,9,6144,1,0.9893333333333333,0.9895545679012345,0.9420216820227821,900.8798291329877,7.884300929013989,908.7641300620016
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,0,42,2,0.996,0.9960124139626352,0.976983222161292,764.3501325550169,8.335059965000255,772.6851925200172
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,1,123,0,0.9933333333333333,0.9933944409596461,0.9623117253801959,1323.8170712189894,15.02063012601866,1338.837701345008
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,2,456,1,0.9973333333333333,0.9973333333333333,0.9845401466624754,1280.6891483899963,15.182324745008373,1295.8714731350046
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,3,789,2,0.9953333333333333,0.9953549727135846,0.9732609961997113,1322.5425255230075,16.119802999004605,1338.662328522012
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,4,1024,0,0.9926666666666667,0.992744784620667,0.9587324290599396,1294.453540330971,15.556026339021628,1310.0095666699926
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,5,2048,1,0.9906666666666667,0.990695632579482,0.9462548425687685,1322.5173167340108,14.584759338002186,1337.102076072013
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,6,3072,2,0.998,0.997990503452285,0.9883629768056863,1323.854364702027,14.264330138001242,1338.1186948400282
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,7,4096,0,0.998,0.9980092740201078,0.9885781316226904,1258.9625174449902,14.348047834995668,1273.310565279986
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,8,5120,1,0.9973333333333333,0.9973163830309103,0.9844649139608554,1299.1824099270016,12.754279827990104,1311.9366897549917
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.0,6,9,6144,2,0.996,0.996,0.976810219993713,1300.794054879996,11.18174128200917,1311.9757961620053
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,0,42,0,0.9953333333333333,0.9953549727135846,0.9732609961997113,847.9295285699918,9.87580893401173,857.8053375040035
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,1,123,1,0.9933333333333333,0.9933944409596461,0.9623117253801959,861.8028536290076,8.649314438007423,870.452168067015
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,2,456,2,0.9973333333333333,0.9973333333333333,0.9845401466624754,859.9936572459992,7.7226476809883025,867.7163049269875
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,3,789,0,0.9953333333333333,0.9953549727135846,0.9732609961997113,855.0505185520014,10.127664120998816,865.1781826730003
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,4,1024,1,0.9926666666666667,0.992744784620667,0.9587324290599396,770.5244007680303,9.415564860988525,779.9399656290188
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,5,2048,2,0.9906666666666667,0.990695632579482,0.9462548425687685,857.1975821429951,9.390310662973206,866.5878928059683
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,6,3072,0,0.998,0.997990503452285,0.9883629768056863,864.6042429650115,7.8865646550257225,872.4908076200372
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,7,4096,1,0.998,0.9980092740201078,0.9885781316226904,854.9550430870004,10.62021952100622,865.5752626080066
