status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QVE,ideal,full,3,6,3,789,0,126,142,,0.9486666666666667,0.9335321653906972,0.9522169191565624,0.7540465406697309,0.9658541167629514,0.9333460817583823,392.5122872061329,1.9340001679956913,394.4462873741286
success,IoT_Original_Distribution,QVE,ideal,full,3,6,4,1024,1,126,142,,0.956,0.9439356222504032,0.9587066233386886,0.7843612123097239,0.9701751913954253,0.9438186851486957,376.59835037903395,5.075436146114953,381.6737865251489
success,IoT_Original_Distribution,QVE,ideal,full,3,6,5,2048,2,126,142,,0.9533333333333334,0.9297512250872826,0.9559918064551846,0.7663867213399324,0.9435337831843398,0.929297531732208,392.0705105860252,1.2636890899157152,393.3341996759409
success,IoT_Original_Distribution,QVE,ideal,full,3,6,6,3072,0,126,142,,0.9606666666666667,0.93062013683403,0.962288437232072,0.7928542048804118,0.9520245904633673,0.9298841909184347,377.4625166199403,5.2095220719929785,382.67203869193327
success,IoT_Original_Distribution,QVE,ideal,full,3,6,7,4096,1,126,142,,0.9506666666666667,0.9409922815587181,0.9541309523809525,0.7653458068776275,0.9734003413022718,0.9409168529609909,394.7918707039207,1.8093936129007488,396.60126431682147
success,IoT_Original_Distribution,QVE,ideal,full,3,6,8,5120,2,126,142,,0.9526666666666667,0.929383307500822,0.9554175125808769,0.7639370639604357,0.9723409474008319,0.9289408640807164,394.49272228905465,1.4936343169538304,395.9863566060085
success,IoT_Original_Distribution,QVE,ideal,full,3,6,9,6144,0,126,142,,0.956,0.9471138039547227,0.9588044943820224,0.7863848004242623,0.966751731300132,0.9470505770303285,151.45014777814504,2.8053134239744395,154.25546120211948
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,0,42,1,138,142,0.026325925925925926,0.942,0.9393875346390494,0.9469454753124061,0.7390818032083202,0.9646694743214399,0.939382025096923,320.7833023520652,0.8790601890068501,321.66236254107207
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,1,123,2,138,142,0.026325925925925926,0.962,0.959959607345827,0.9642948135792173,0.8145445086835679,0.9903193315902912,0.9599563185778653,323.0054094599327,0.3797699719434604,323.38517943187617
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,2,456,0,138,142,0.026325925925925926,0.9506666666666667,0.9537050083759961,0.9545365998879238,0.7741138661931201,0.9738595859492012,0.953697667991912,303.7818604391068,1.710284405038692,305.4921448441455
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,3,789,1,138,142,0.026325925925925926,0.9486666666666667,0.9335321653906972,0.9522169191565624,0.7540465406697309,0.9658332420062729,0.9333460817583823,305.4248087659944,1.6218792209401727,307.04668798693456
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,4,1024,2,138,142,0.026325925925925926,0.956,0.9439356222504032,0.9587066233386886,0.7843612123097239,0.9701543166387466,0.9438186851486957,281.9123503889423,2.189706253935583,284.10205664287787
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,5,2048,0,138,142,0.026325925925925926,0.9533333333333334,0.9297512250872826,0.9559918064551846,0.7663867213399324,0.9435911887652061,0.929297531732208,305.1808520159684,1.5971422919537872,306.7779943079222
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,6,3072,1,138,142,0.026325925925925926,0.9606666666666667,0.93062013683403,0.962288437232072,0.7928542048804118,0.9520245904633674,0.9298841909184347,309.2281187030021,0.6093213430140167,309.8374400460161
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,3,6,7,4096,2,138,142,0.026325925925925926,0.9506666666666667,0.9409922815587181,0.9541309523809525,0.7653458068776275,0.9734055599914414,0.9409168529609909,304.3095801449381,2.516420789062977,306.82600093400106
