status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,3,789,1,0.9546666666666668,0.9573529970495248,0.7754009734327173,276.3914495019708,1.3482452760217711,277.7396947779925
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,4,1024,2,0.9546666666666668,0.9569284538432316,0.7673304473147916,286.6669378069928,0.0819699629209935,286.7489077699138
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,5,2048,0,0.9573333333333334,0.9588164839803776,0.7701949411529486,278.8888173169689,1.3308270170819014,280.2196443340508
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,6,3072,1,0.9613333333333334,0.9626774386072172,0.7920982952477333,282.8525327469688,0.098065941943787,282.9505986889126
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,7,4096,2,0.9526666666666668,0.9554175125808768,0.7639370639604357,283.6345061690081,0.2368895179824903,283.8713956869906
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,8,5120,0,0.9533333333333334,0.9551979853699486,0.7522266687925445,279.09017198102083,0.2270123490598052,279.31718433008064
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,9,6144,1,0.952,0.955471447814741,0.7742903761920127,275.81227501598187,2.0256195530528203,277.8378945690347
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,0,42,2,0.946,0.9496188246739428,0.7381560452446436,279.06029660301283,0.741699961014092,279.8019965640269
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,1,123,0,0.9606666666666668,0.9628618468758638,0.8038376889694526,226.62995235004928,0.5332123389234766,227.1631646889728
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,2,456,1,0.954,0.9567779322274736,0.772956409598325,229.8412898950046,0.0518458150327205,229.8931357100373
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,3,789,2,0.9506666666666668,0.9539192572388504,0.7610065361418865,226.658802438993,1.2267480599693954,227.8855504989624
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,4,1024,0,0.9553333333333334,0.9577216076580396,0.7738506952261726,221.7279261260992,1.4457329229917375,223.17365904909093
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,5,2048,1,0.9526666666666668,0.954855156513257,0.753651251609038,229.7264835230308,0.0523433689959347,229.7788268920267
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,6,3072,2,0.954,0.9562393949049456,0.7627853053861655,226.6565782390535,0.832370323012583,227.48894856206607
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,7,4096,0,0.9546666666666668,0.9571438405410544,0.7713432741068915,229.8654085949529,0.2441453050123527,230.10955389996525
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,8,5120,1,0.9506666666666668,0.9535900262009536,0.7545587288283078,228.3751138660591,1.8324900390580297,230.20760390511717
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.002,6,9,6144,2,0.9493333333333334,0.9528912483912484,0.7585529977280968,230.3873537631007,0.1081787559669464,230.49553251906764
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,0,42,0,0.8906666666666667,0.904460055381292,0.5692349980628227,231.6608809470199,0.1080541650298982,231.7689351120498
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,1,123,1,0.8013333333333333,0.839749967511371,0.4836626203813408,230.98835861403492,0.1060262089595198,231.09438482299447
