dataset,model,noise_level,num_qubits,comparison,mean_a,mean_b,mean_diff,t_stat,p_value,cohens_d,paired_runs,p_value_holm,significant_holm
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.05,6,3map_vs_2map,0.9674000000000001,0.09533333333333335,-0.8720666666666667,-634.1901861565558,3.0680004602597645e-22,-283.618473381861,10,2.1476003221818352e-20,True
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.05,6,4map_vs_2map,0.9674000000000001,0.13199999999999998,-0.8353999999999999,-34.15247286528309,7.805746258856687e-11,-14.989257088330085,10,5.3859649186111136e-09,True
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.05,6,4map_vs_3map,0.09533333333333335,0.13199999999999998,0.03666666666666667,1.4733434908247636,0.17475093833946032,0.6588992399382019,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.0,6,3map_vs_2map,0.9956666666666667,0.9960000000000001,0.0003333333333333299,0.7644707871564369,0.46415789574706334,0.19487094073848762,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.0,6,4map_vs_2map,0.9956666666666667,0.9954666666666666,-0.00020000000000000017,-0.22492972044182769,0.8270579263376784,-0.0890914454046633,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.0,6,4map_vs_3map,0.9960000000000001,0.9954666666666666,-0.0005333333333333301,-0.9669875568304578,0.3588149438059596,-0.2637521893583141,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.002,6,3map_vs_2map,0.9956666666666667,0.9955999999999999,-6.666666666665932e-05,-0.15210603796900055,0.8824585267676881,-0.03923999984303549,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.002,6,4map_vs_2map,0.9956666666666667,0.9954666666666666,-0.00020000000000000017,-0.2534457226662664,0.8056184291683298,-0.090430570253346,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.002,6,4map_vs_3map,0.9955999999999999,0.9954666666666666,-0.00013333333333334085,-0.2544566789040057,0.8048613722772224,-0.06289709020331856,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.01,6,3map_vs_2map,0.9917333333333334,0.9943333333333335,0.0026000000000000133,4.165310298877098,0.0024284746549589715,1.1183506095513973,10,0.11837550821153621,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.01,6,4map_vs_2map,0.9917333333333334,0.9935333333333333,0.0018000000000000017,1.6261913129196206,0.1383531437246668,0.7016998925552199,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.01,6,4map_vs_3map,0.9943333333333335,0.9935333333333333,-0.0008000000000000119,-1.3269776053940892,0.21719492230471107,-0.3228991757735038,10,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.05,6,3map_vs_2map,0.09533333333333335,0.9881333333333332,0.8928,1327.4524045941785,3.9782413788800525e-25,593.6547627136274,10,2.864333792793638e-23,True
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.05,6,4map_vs_2map,0.09533333333333335,0.9879333333333333,0.8926000000000001,1240.1712299900184,7.3371190400049425e-25,554.6214347994413,10,5.209354518403509e-23,True
UNSW_2018_IoT_Botnet_Final_10_Best,QWE,0.05,6,4map_vs_3map,0.9881333333333332,0.9879333333333333,-0.00019999999999998909,-1.1523319193960742,0.278872999248913,-0.09079798901495226,10,1.0,False
UNSW_NB15,QVE,0.0,6,3map_vs_2map,0.889,0.8627333333333332,-0.02626666666666667,-4.356791414914682,0.0018320154648119307,-2.0130415644414317,10,0.09160077324059654,False
UNSW_NB15,QVE,0.0,6,4map_vs_2map,0.889,0.8917333333333334,0.002733333333333321,0.9986806511835077,0.34404140174017317,0.39162244352642245,10,1.0,False
UNSW_NB15,QVE,0.0,6,4map_vs_3map,0.8627333333333332,0.8917333333333334,0.02899999999999999,3.887218205118797,0.003690567224091582,2.064509055425388,10,0.17345665953230435,False
UNSW_NB15,QVE,0.002,6,3map_vs_2map,0.8909333333333332,0.8597333333333333,-0.031199999999999985,-4.4061277274476565,0.0017051442719575646,-2.138247382662341,10,0.08696235786983579,False
UNSW_NB15,QVE,0.002,6,4map_vs_2map,0.8909333333333332,0.8892666666666666,-0.0016666666666666607,-0.9614594493799314,0.3614391825963773,-0.2446685816377574,10,1.0,False
UNSW_NB15,QVE,0.002,6,4map_vs_3map,0.8597333333333333,0.8892666666666666,0.02953333333333332,3.864923782616459,0.003818244609577318,1.9921097435024486,10,0.17563925204055664,False
UNSW_NB15,QVE,0.01,6,3map_vs_2map,0.8503999999999999,0.8426,-0.007800000000000007,-1.4931304306175013,0.16960562273963042,-0.623253159235144,10,1.0,False
UNSW_NB15,QVE,0.01,6,4map_vs_2map,0.8503999999999999,0.8698,0.019400000000000008,4.453328191775022,0.001592521982678422,1.552444714528452,10,0.08281114309927795,False
UNSW_NB15,QVE,0.01,6,4map_vs_3map,0.8426,0.8698,0.027200000000000012,6.619021070709422,9.712806816725462e-05,3.0173971409022813,10,0.0057305560218680225,True
UNSW_NB15,QVE,0.05,6,3map_vs_2map,0.8384,0.695,-0.14340000000000003,-5.108399078064667,0.0006378794170495694,-2.2545104222899712,10,0.03508336793772632,True
UNSW_NB15,QVE,0.05,6,4map_vs_2map,0.8384,0.6521999999999999,-0.18619999999999998,-28.029682625161453,4.550604914114226e-10,-11.917520369669724,10,3.094411341597674e-08,True
UNSW_NB15,QVE,0.05,6,4map_vs_3map,0.695,0.6521999999999999,-0.042799999999999984,-1.974397274190992,0.07977574525415207,-0.655882939306919,10,1.0,False
