status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,error,zz_reps,layout
success,IoT_Original_Distribution,QVE,ideal,full,0,6.0,3,789,0.0,181.0,225.0,,0.9533333333333334,0.932929406791602,0.9560986734333344,0.7684535585645808,0.9696428851001204,0.9325909404760042,396.7440340650501,5.059615743113682,401.80364980816375,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,ideal,full,0,6.0,4,1024,1.0,181.0,225.0,,0.9606666666666668,0.943332863651308,0.9626763372577724,0.8001169628844079,0.9698359765993978,0.9430912973748584,407.0739023030037,1.8905402519740164,408.9644425549777,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6.0,0,42,2.0,198.0,225.0,0.00655,0.9466666666666668,0.941962957744274,0.9508503782572147,0.7540795177866658,0.973139406843789,0.9419451458911802,453.9088468719274,1.233785873861052,455.1426327457884,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6.0,1,123,0.0,198.0,225.0,0.00655,0.954,0.9619009597169385,0.957562339866857,0.7897417795376471,0.989943585970076,0.9618517446145152,407.19642868393566,1.9481839319923893,409.14461261592805,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6.0,2,456,1.0,198.0,225.0,0.00655,0.9466666666666668,0.9514975028572324,0.9511633423180592,0.760971459708625,0.9720330447398222,0.9514789034475704,400.0752757680602,3.0552701238775626,403.1305458919378,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6.0,3,789,2.0,198.0,225.0,0.00655,0.952,0.9321935716186808,0.954952680005842,0.7636149405376764,0.9682964632943498,0.9318743895131396,415.73816595296375,1.4446075619198382,417.1827735148836,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6.0,4,1024,0.0,198.0,225.0,0.00655,0.956,0.9407574405460836,0.9586073206657152,0.7823483883008538,0.9701699727062556,0.94057013988315,859.196675935993,1.3219891589833423,860.5186650949763,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6.0,0,42,1.0,528.0,225.0,0.0309244791666666,0.9473333333333334,0.939152693626415,0.9513052356904398,0.7540118257454874,0.9692201712773784,0.939098654444724,872.5621251841076,1.947064779116772,874.5091899632243,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6.0,1,123,2.0,528.0,225.0,0.0309244791666666,0.9613333333333334,0.9627698714636856,0.9637978890023834,0.8139207284465416,0.9908255444397476,0.9627682460267007,880.627514275955,1.2726105438778177,881.9001248198329,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6.0,2,456,0.0,528.0,225.0,0.0309244791666666,0.9413333333333334,0.9453759804612278,0.9466097332948036,0.7418315126246477,0.971584237471232,0.9453628709028348,1113.7270140409237,1.0174638869939372,1114.7444779279176,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6.0,3,789,1.0,528.0,225.0,0.0309244791666666,0.95,0.9310898188592988,0.9532419329461342,0.7564924503461042,0.9689331433730476,0.9307985287855473,1105.1174128199928,1.2945300140418112,1106.4119428340346,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6.0,4,1024,2.0,528.0,225.0,0.0309244791666666,0.9533333333333334,0.9361075884959216,0.9562039944501242,0.7705303644616922,0.9708066527849532,0.9358671832337764,1091.0737696359863,0.9550311320926994,1092.0288007680792,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,full,0,6.0,0,42,0.0,179.0,225.0,,0.996,0.979020979020979,0.9959615546218488,0.9766394448969592,0.9904767303440848,0.9787961779869996,366.9901432249462,1.1751345900120214,368.16527781495824,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,full,0,6.0,1,123,1.0,179.0,225.0,,0.996,0.9852770663382306,0.9959873882470078,0.9766937779662984,0.99908271536864,0.9851879815304428,371.90260433300864,0.0769659500801935,371.9795702830888,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,full,0,6.0,2,456,2.0,179.0,225.0,,0.994,0.9685314685314684,0.9939124426101495,0.9648259030152228,0.9940067301894864,0.9680201119103554,371.9254919090308,0.2323625930584967,372.1578545020893,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,full,0,6.0,3,789,0.0,179.0,225.0,,0.9953333333333332,0.9755244755244756,0.9952807936150396,0.9727117770954384,0.9910796646242482,0.9752173865600178,376.3936096760444,0.1061546400887891,376.4997643161332,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,full,0,6.0,4,1024,1.0,179.0,225.0,,0.994,0.9810436431659718,0.9939905786565862,0.9651134343402644,0.9972532993903664,0.980913019600036,376.3728350070305,0.0992784210247919,376.4721134280553,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeKolkataV2,full,0,6.0,0,42,2.0,194.0,225.0,0.00655,0.996,0.979020979020979,0.9959615546218488,0.9766394448969592,0.9978665402394216,0.9787961779869996,347.8122867110651,1.146258733002469,348.9585454440676,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeKolkataV2,full,0,6.0,1,123,0.0,194.0,225.0,0.00655,0.9966666666666668,0.9887735698347342,0.9966614325869924,0.9806219150789104,0.9983973285373432,0.9887254721995096,360.4242617459968,1.2955871989252046,361.719848944922,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeKolkataV2,full,0,6.0,2,456,1.0,194.0,225.0,0.00655,0.996,0.979020979020979,0.9959615546218488,0.9766394448969592,0.9990981752219776,0.9787961779869996,369.5548128789524,0.0516139820683747,369.6064268610208,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeKolkataV2,full,0,6.0,3,789,2.0,194.0,225.0,0.00655,0.9966666666666668,0.9825174825174824,0.9966400755284308,0.9805571131969576,0.9940015769050404,0.9823619317924353,365.050778881996,0.8247979460284114,365.8755768280244,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeKolkataV2,full,0,6.0,4,1024,0.0,194.0,225.0,0.00655,0.994,0.9810436431659718,0.9939905786565862,0.9651134343402644,0.9989796496797234,0.980913019600036,826.2532169379992,1.1858759999740869,827.4390929379733,,3,best_healthy_path
