status,dataset,model,feature_regime,num_qubits,run_idx,seed,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,training_time
success,IoT_Original_Distribution,RandomForest,quantum_features,6,13,10240,0.9773333333333334,0.9048580777480313,0.9766351674641147,0.8612566004953791,0.967915498984965,0.9004452469991446,0.5855965949594975
success,IoT_Original_Distribution,RandomForest,quantum_features,6,14,11264,0.9826666666666667,0.9141577818483553,0.9820029197080292,0.8944267643887619,0.9850954237314672,0.9102560413295009,0.584172455011867
success,IoT_Original_Distribution,RandomForest,quantum_features,6,15,12288,0.9806666666666667,0.9130540290889735,0.9800354194248371,0.8819655445560679,0.981186625543396,0.9092493062292131,0.5846277680248022
success,IoT_Original_Distribution,RandomForest,quantum_features,6,16,13312,0.9806666666666667,0.916232210793293,0.9801066261943362,0.8821956389901248,0.9710571498650968,0.9127894613173392,0.5891595869325101
success,IoT_Original_Distribution,RandomForest,quantum_features,6,17,14336,0.9873333333333333,0.9421586585881359,0.9870574091492557,0.9237306921729009,0.9832401797316549,0.940514653929653,0.5895836389390752
success,IoT_Original_Distribution,RandomForest,quantum_features,6,18,15360,0.986,0.9318882783022561,0.985594453451071,0.9153783531626262,0.9825173912816577,0.9295024834786397,0.5973604379687458
success,IoT_Original_Distribution,RandomForest,quantum_features,6,19,16384,0.982,0.9169680459662142,0.9814122870507105,0.8903228726134919,0.9812153283338291,0.9134638533275614,0.5815164690138772
success,IoT_Original_Distribution,RandomForest,quantum_features,6,20,17408,0.9793333333333333,0.9154963756203717,0.9788095232222072,0.8742545096871945,0.977259561943231,0.9121145706806573,0.5807724540354684
success,IoT_Original_Distribution,RandomForest,quantum_features,6,21,18432,0.9833333333333333,0.9304166079564136,0.982970275196389,0.8991999217200408,0.9774161226183207,0.9281315351167461,0.5824973549460992
success,IoT_Original_Distribution,RandomForest,quantum_features,6,22,19456,0.98,0.9222206566154714,0.9795995115995115,0.8789722710927302,0.9801950746011618,0.9194713945980089,0.5855170240392908
success,IoT_Original_Distribution,RandomForest,quantum_features,6,23,20480,0.9873333333333333,0.9358022951794969,0.9869664102652548,0.9236740317057516,0.9827522322942923,0.9336479672574922,0.5864086489891633
