dataset,map,map_type,entanglement,noise_level,num_qubits,n_runs,offdiag_var_mean,offdiag_var_ci95,offdiag_mean_mean,offdiag_mean_ci95,kta_mean,kta_ci95
IoT,ZZ-linear,ZZ,linear,0.01,10,5,0.019861595919860153,0.002083765797613823,0.04594605228225972,0.0039107734826093615,0.2641049218809809,0.010838617227806728
IoT,ZZ-linear,ZZ,linear,0.02,10,5,0.01925697368535203,0.001935119702231022,0.13599197169423954,0.008583469168689682,0.5065639307703851,0.01084303902941146
IoT,ZZ-linear,ZZ,linear,0.05,10,5,0.0052985234404007864,0.0007326226507664411,0.7556473205045944,0.011784550429382031,0.6657570573842445,0.00348862951384871
UNSW-2018,Pauli-full,Pauli,full,0.0,10,5,0.0012197389856385022,5.9662347520397176e-05,0.011079460657320515,0.0002662106854947117,0.18520078397383288,0.0018916545694998609
UNSW-2018,Pauli-full,Pauli,full,0.002,10,5,0.002528460589004996,4.063497484554851e-05,0.22808340753243517,0.0018886323698854496,0.667102832320657,0.004304525057241925
UNSW-2018,Pauli-full,Pauli,full,0.005,10,5,0.003237689906889275,0.00016710575613102893,0.7041249030455905,0.004121468233722204,0.6521678794290695,0.0033412108527329704
UNSW-2018,Pauli-full,Pauli,full,0.01,10,5,0.00024360748903206998,1.667306977180178e-05,0.951181543836378,0.0009606535849358905,0.6424334208260938,0.0007134412826987304
UNSW-2018,Pauli-full,Pauli,full,0.02,10,5,5.610615291861375e-07,2.7166025213488015e-08,0.9981448725461011,3.5130451098605604e-05,0.6400777291348437,2.770718579532001e-05
UNSW-2018,Pauli-full,Pauli,full,0.05,10,5,3.4765248252706068e-15,1.9688629749380442e-16,0.9999999810050924,5.867791939837437e-10,0.6400000001199816,9.484224234871934e-10
UNSW-2018,Z-linear,Z,linear,0.0,10,5,0.019758809843855415,0.0009906919393588088,0.051520317190558405,0.0031331309473568024,0.23291320769557516,0.0049508747464565815
UNSW-2018,Z-linear,Z,linear,0.002,10,5,0.019879311409485647,0.000996173723394182,0.05229167074516707,0.0031555409756040416,0.23513069793921684,0.0049341793352858454
UNSW-2018,Z-linear,Z,linear,0.005,10,5,0.02001481809589336,0.0010022022192524122,0.053161776142565675,0.003180539845361248,0.23761165120268685,0.004915931256187016
UNSW-2018,Z-linear,Z,linear,0.01,10,5,0.020246144933340225,0.0010121811796366203,0.054654787698897346,0.0032227594367364005,0.24181967176178726,0.004886031478576109
UNSW-2018,Z-linear,Z,linear,0.02,10,5,0.020729427860375703,0.0010317798796942298,0.05780885756095322,0.0033092492792079,0.2505124781231561,0.004828729504230548
UNSW-2018,Z-linear,Z,linear,0.05,10,5,0.02234545241171726,0.0010866168834165189,0.068775423803913,0.003584840829282704,0.2788267260970324,0.0046868289942230195
UNSW-2018,ZZ-full,ZZ,full,0.0,10,5,0.0005633798886471282,2.2137021007140643e-05,0.006480001104537532,9.843078737776335e-05,0.13652681666010008,0.0011392017509849034
UNSW-2018,ZZ-full,ZZ,full,0.002,10,5,0.0016924464660059112,0.00011865957436924649,0.908910011357239,0.0018374753557355108,0.6475450743226274,0.0021781755838629173
UNSW-2018,ZZ-full,ZZ,full,0.005,10,5,6.137913932200127e-05,4.301192845812183e-06,0.9867853027142534,0.00019736716275331738,0.6416032454869152,0.0003591890962722804
UNSW-2018,ZZ-full,ZZ,full,0.01,10,5,2.0756649531461555e-07,1.5445015635464166e-08,0.9991530089633602,1.1592131962312283e-05,0.6400942170155149,2.0503644919913927e-05
UNSW-2018,ZZ-full,ZZ,full,0.02,10,5,7.716769244639039e-12,6.500828262674709e-13,0.9999925318203511,1.1274644190347961e-07,0.6400004905992643,1.3433947518994902e-07
UNSW-2018,ZZ-full,ZZ,full,0.05,10,5,2.610021591270628e-16,3.5463766962218724e-17,0.9999999982238508,1.795482901819625e-10,0.6399999995006185,8.672176137949316e-11
UNSW-2018,ZZ-linear,ZZ,linear,0.0,10,5,0.0035933944671582437,0.00024119740946548042,0.013292634294486608,0.0007608637615692655,0.1779426251929062,0.010027153403993894
UNSW-2018,ZZ-linear,ZZ,linear,0.002,10,5,0.004042638472988244,0.00027425565946287834,0.01953508659256879,0.0009650322373547616,0.2269118544176046,0.01217928721181392
UNSW-2018,ZZ-linear,ZZ,linear,0.005,10,5,0.004475379510984169,0.00029780548124691303,0.026631378215051415,0.001084340445146209,0.2751879576423276,0.01305438798430621
UNSW-2018,ZZ-linear,ZZ,linear,0.01,10,5,0.005572133567726591,0.0003494289502178587,0.0469276635547203,0.0012144261130364103,0.3793495611751683,0.013055508905234532
UNSW-2018,ZZ-linear,ZZ,linear,0.02,10,5,0.009280801137373071,0.00043130820641462285,0.1465328385391769,0.0005404440354854638,0.5695891751051991,0.010561656639610312
UNSW-2018,ZZ-linear,ZZ,linear,0.05,10,5,0.005458590562826773,7.25817474717142e-05,0.7415419326329559,0.0016849984681609168,0.6397156858984175,0.0021298482365012974
UNSW-NB15,Pauli-full,Pauli,full,0.0,10,5,0.023612617248976536,0.002176486161343574,0.059447122555286,0.005257122668291168,0.200747303658326,0.012551063679096594
UNSW-NB15,Pauli-full,Pauli,full,0.002,10,5,0.016415812569796802,0.006116693021491225,0.272768074291828,0.014474387295462469,0.151536049557007,0.025058352576797168
UNSW-NB15,Pauli-full,Pauli,full,0.005,10,5,0.0025921393084003,0.001066632173722619,0.7710521003976846,0.013128873680840638,0.08675641084684882,0.0041350568397836365
UNSW-NB15,Pauli-full,Pauli,full,0.01,10,5,8.234851577444772e-05,1.2753177030636906e-05,0.9683440105818066,0.002478603868382296,0.07749600925390972,0.00043644088249088973
UNSW-NB15,Pauli-full,Pauli,full,0.02,10,5,2.1587484419816342e-07,1.7572044154155114e-08,0.9988007629605935,0.00016425135817293516,0.07631893940536058,1.8449639143097645e-05
UNSW-NB15,Pauli-full,Pauli,full,0.05,10,5,1.3745421058089891e-15,6.979642918399606e-16,0.9999999917367737,4.504373660474707e-09,0.07628117826489818,5.368006500632295e-10
UNSW-NB15,Z-linear,Z,linear,0.0,10,5,0.09412527445561918,0.00560342303477047,0.34642552143369365,0.05665943322100569,0.1765874580524081,0.030248995124234873
UNSW-NB15,Z-linear,Z,linear,0.002,10,5,0.0958433119745811,0.006444614193554216,0.37341441692502075,0.04905594568437004,0.18561153820960485,0.030201424345917924
UNSW-NB15,Z-linear,Z,linear,0.005,10,5,0.09459602258904705,0.005586046134412393,0.3722274103043879,0.04547856560919367,0.17890478132700224,0.029846402584839893
UNSW-NB15,Z-linear,Z,linear,0.01,10,5,0.09330679398752086,0.0020184552576988967,0.3823190039731895,0.033193077418963005,0.17389303971213438,0.03211340045097173
