dataset,response,term,SS,eta2,partial_eta2
UNSW-NB15,mcc,noise,16.858039198610182,0.22315085213844066,0.49838599029548036
UNSW-NB15,mcc,modelxnoise,9.519217974065974,0.12600644580180528,0.3593995981619372
UNSW-NB15,mcc,model,7.918149573317556,0.10481300961686658,0.31818482995486347
UNSW-NB15,mcc,ent,3.509054247054918,0.04644955657090154,0.17137165018867653
UNSW-NB15,mcc,modelxent,2.6846482846988255,0.03553684656706313,0.13661027938495668
UNSW-NB15,mcc,seed,0.6691739362476696,0.00885789458330438,0.037942770050724516
UNSW-NB15,mcc,optxnoise,0.28886530857906867,0.0038237270066359243,0.01673990204364369
UNSW-NB15,mcc,optxent,0.08524231731584203,0.0011283575464015837,0.004998825193309668
UNSW-NB15,mcc,opt,0.0657568186499668,0.0008704268594216303,0.003860557621365706
UNSW-NB15,mcc,optxmodel,0.040527819820370944,0.0005364691244148106,0.0023829022879718518
UNSW-NB15,logit_acc,model,88.21141730356572,0.23658879486565831,0.5385582580457154
UNSW-NB15,logit_acc,entxnoise,77.63345370899854,0.20821800415090244,0.5067000747030601
UNSW-NB15,logit_acc,noise,71.3463005177651,0.1913554477821412,0.4855912298575373
UNSW-NB15,logit_acc,modelxnoise,23.00390761806339,0.061697985894832184,0.23334256933820927
UNSW-NB15,logit_acc,seed,15.6754559950339,0.04204259897641183,0.17177486010653095
UNSW-NB15,logit_acc,ent,11.388198788505624,0.03054389453681507,0.1309461512158605
UNSW-NB15,logit_acc,modelxent,9.440932542050778,0.025321199010385712,0.1110419711774403
UNSW-NB15,logit_acc,optxnoise,0.29275660864764796,0.0007851923860439369,0.0038585021938786187
UNSW-NB15,logit_acc,optxent,0.17561774847201506,0.0004710182960220369,0.0023182030068116203
UNSW-NB15,logit_acc,opt,0.06083227374012674,0.00016315613979521273,0.0008042214483511796
UNSW-NB15,logit_acc,optxmodel,0.037739718242123674,0.00010122039448415728,0.000499083097414317
