dataset,model,entanglement,noise_level,n,mean_delta_pp,ci90_lo,ci90_hi,p_t,p_wilcoxon,shapiro_W,shapiro_p,p_tost_1pp,p_tost_0p5pp,p_t_holm,p_wilcoxon_holm,sig_t_holm,sig_w_holm,equiv_1pp,equiv_0p5pp
UNSW-2018,QSVC,full,0.02,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.05,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.0,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.0003,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.0005,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.001,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.002,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.005,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.008,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.01,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.02,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,linear,0.05,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.0,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.0003,30,0.0022222222222212373,-0.0015536156145181958,0.005998060058960671,0.32558198801619365,0.31731050786291415,0.17961525210206064,7.76637667465555e-12,1.4279677573473206e-57,8.128775784007088e-49,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.0005,30,0.0,-0.005431127025229555,0.005431127025229555,1.0,1.0,0.3472561540639837,1.803187003645419e-10,5.060491724848018e-53,2.6831786417312405e-44,1.0,1.0,False,False,True,True
