dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
IoT,6,789,5.0,0.9689234184239733,0.820312783082008,0.9692466432487546,56.85550117492676
IoT,6,789,10.0,0.9689234184239733,0.820312783082008,0.9692466432487546,56.85550117492676
IoT,6,789,50.0,0.9711431742508324,0.8312000171112083,0.9712952384061282,56.85550117492676
IoT,6,789,100.0,0.9700332963374029,0.8257117495209572,0.9702686023457036,56.85550117492676
IoT,6,1024,0.01,0.9500554938956715,0.6828023712893038,0.9478343919464189,55.72180437995121
IoT,6,1024,0.1,0.9689234184239733,0.8225032601845743,0.9694019551266289,55.72180437995121
IoT,6,1024,0.5,0.9733629300776915,0.8612899503110906,0.9745034705396713,55.72180437995121
IoT,6,1024,1.0,0.9678135405105438,0.8325241926978835,0.969259349386006,55.72180437995121
IoT,6,1024,2.0,0.9700332963374029,0.8322131314659239,0.9707121769669221,55.72180437995121
IoT,6,1024,5.0,0.974472807991121,0.8515600674390442,0.9746732538500439,55.72180437995121
IoT,6,1024,10.0,0.974472807991121,0.8498394789841329,0.9745405161861898,55.72180437995121
IoT,6,1024,50.0,0.974472807991121,0.8482271992001682,0.9744041857532683,55.72180437995121
IoT,6,1024,100.0,0.9733629300776915,0.8424549746459171,0.9733629300776915,55.72180437995121
IoT,6,2048,0.01,0.9611542730299667,0.7515775707390981,0.9589007833530814,56.289665766991675
IoT,6,2048,0.1,0.9600443951165372,0.7859734941002444,0.961584039804098,56.289665766991675
IoT,6,2048,0.5,0.9600443951165372,0.7890043329453141,0.9617552058095072,56.289665766991675
IoT,6,2048,1.0,0.9622641509433962,0.79812577673374,0.9637182598149814,56.289665766991675
IoT,6,2048,2.0,0.9667036625971143,0.8171711395716657,0.9676903728012853,56.289665766991675
IoT,6,2048,5.0,0.9700332963374029,0.8322131314659239,0.9707121769669221,56.289665766991675
IoT,6,2048,10.0,0.9711431742508324,0.8331712002280917,0.9714433115881294,56.289665766991675
IoT,6,2048,50.0,0.974472807991121,0.8467306780408765,0.9742641334387965,56.289665766991675
IoT,6,2048,100.0,0.9711431742508324,0.8293262225330769,0.9711431742508324,56.289665766991675
IoT,6,3072,0.01,0.9533851276359601,0.6899813264137098,0.9483487068523302,54.73659625486471
IoT,6,3072,0.1,0.9589345172031076,0.7584244465970315,0.9590434390821314,54.73659625486471
IoT,6,3072,0.5,0.9622641509433962,0.7896608206970448,0.9632079649021306,54.73659625486471
